customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,state,country,customer_segment,signup_date,created_date,updated_date
5001,Ritu,Patel,ritupatel314@hotmail.com,9566412750,Female,1997-11-10,Indore,Madhya Pradesh,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5002,Varun,Agarwal,varunagarwal227@yahoo.com,9664186029,Male,1993-11-01,Aurangabad,Maharashtra,India,Silver,2026-06-29,2026-06-29,2026-06-29
5003,Naresh,Das,nareshdas139@hotmail.com,9822493799,Male,1984-02-29,Vadodara,Gujarat,India,Gold,2026-06-29,2026-06-29,2026-06-29
5004,Sarika,Patel,sarikapatel286@gmail.com,9890891857,Female,1985-08-23,Hubli,Karnataka,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5005,Amrutha,Chatterjee,amruthachatterjee624@yahoo.com,9914572888,Female,1982-01-02,Jaipur,Rajasthan,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5006,Nandini,Kulkarni,nandinikulkarni348@hotmail.com,9891053896,Female,1979-03-04,Nashik,Maharashtra,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5007,Rekha,Choudhary,rekhachoudhary510@yahoo.com,9284324372,Female,1957-05-18,Howrah,West Bengal,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5008,Madhavi,Kulkarni,madhavikulkarni279@outlook.com,9494799837,Female,1984-11-05,Delhi,Delhi,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5009,Divya,Yadav,divyayadav984@yahoo.com,9871128876,Female,1965-08-15,Bangalore,Karnataka,India,Gold,2026-06-29,2026-06-29,2026-06-29
5010,Pallavi,Pillai,pallavipillai474@outlook.com,9844354739,Female,1972-01-15,Mumbai,Maharashtra,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5011,Vamsi,Iyer,vamsiiyer326@yahoo.com,9923587701,Male,1979-08-06,Ahmedabad,Gujarat,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5012,Uma,Reddy,umareddy593@yahoo.com,9275748393,Female,1991-04-09,Lucknow,Uttar Pradesh,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5013,Hina,Yadav,hinayadav538@outlook.com,9538544795,Female,2002-12-09,Madurai,Tamil Nadu,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5014,Ganesh,Nair,ganeshnair156@yahoo.com,9085471543,Male,1970-05-28,Hyderabad,Telangana,India,Bronze,2026-06-29,2026-06-29,2026-06-29
5015,Kunal,Gupta,kunalgupta341@hotmail.com,9321142936,Male,1973-08-09,Cuttack,Odisha,India,Silver,2026-06-29,2026-06-29,2026-06-29
5016,Siddharth,Mehta,siddharthmehta835@outlook.com,9656870001,Male,1974-03-28,Indore,Madhya Pradesh,India,Silver,2026-06-29,2026-06-29,2026-06-29
5017,Ayaan,Iyer,ayaaniyer709@outlook.com,9342129258,Male,1963-10-17,Salem,Tamil Nadu,India,Bronze,2026-06-29,2026-06-29,2026-06-29
